,count
Grove St PATH,44940
Exchange Place,23912
Hamilton Park,17714
Sip Ave,14118
Newport PATH,13400
Morris Canal,10369
Warren St,9210
City Hall,8848
Newport Pkwy,8460
Newark Ave,8302
